id,school,state,year,applied,admitted
210234,C Milton Wright High School,Maryland,2015-16,50,26
210234,C Milton Wright High School,Maryland,2016-17,72,32
210234,C Milton Wright High School,Maryland,2017-18,45,18
210234,C Milton Wright High School,Maryland,2018-19,86,54
210234,C Milton Wright High School,Maryland,2019-20,60,33
210234,C Milton Wright High School,Maryland,2020-21,83,48
210234,C Milton Wright High School,Maryland,2021-22,71,36
210234,C Milton Wright High School,Maryland,2022-23,85,54
210055,Calvert Hall College Hs,Maryland,2013-14,105,59
210055,Calvert Hall College Hs,Maryland,2014-15,92,54
210055,Calvert Hall College Hs,Maryland,2015-16,82,40
210055,Calvert Hall College Hs,Maryland,2016-17,101,50
210055,Calvert Hall College Hs,Maryland,2017-18,117,55
210055,Calvert Hall College Hs,Maryland,2018-19,146,80
210055,Calvert Hall College Hs,Maryland,2019-20,110,62
210055,Calvert Hall College Hs,Maryland,2020-21,137,72
210055,Calvert Hall College Hs,Maryland,2021-22,144,84
210055,Calvert Hall College Hs,Maryland,2022-23,173,82
210850,Calvert High School,Maryland,2013-14,27,14
210850,Calvert High School,Maryland,2014-15,24,15
210850,Calvert High School,Maryland,2015-16,25,11
210850,Calvert High School,Maryland,2016-17,38,18
210850,Calvert High School,Maryland,2017-18,20,10
210850,Calvert High School,Maryland,2018-19,39,23
210850,Calvert High School,Maryland,2019-20,33,17
210850,Calvert High School,Maryland,2020-21,39,20
210850,Calvert High School,Maryland,2021-22,45,20
210850,Calvert High School,Maryland,2022-23,48,24
210318,Cambridge South Dorchester Hs,Maryland,2013-14,NA,NA
210318,Cambridge South Dorchester Hs,Maryland,2014-15,NA,NA
210318,Cambridge South Dorchester Hs,Maryland,2015-16,NA,NA
210318,Cambridge South Dorchester Hs,Maryland,2016-17,17,<10
210318,Cambridge South Dorchester Hs,Maryland,2017-18,13,<10
210318,Cambridge South Dorchester Hs,Maryland,2018-19,15,11
210318,Cambridge South Dorchester Hs,Maryland,2019-20,NA,NA
210318,Cambridge South Dorchester Hs,Maryland,2020-21,NA,NA
210318,Cambridge South Dorchester Hs,Maryland,2021-22,20,11
210318,Cambridge South Dorchester Hs,Maryland,2022-23,23,14
211025,Carver Center Arts & Tech,Maryland,2013-14,40,23
211025,Carver Center Arts & Tech,Maryland,2014-15,51,29
211025,Carver Center Arts & Tech,Maryland,2015-16,46,24
211025,Carver Center Arts & Tech,Maryland,2016-17,54,25
211025,Carver Center Arts & Tech,Maryland,2017-18,58,25
211025,Carver Center Arts & Tech,Maryland,2018-19,64,34
