original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Clarksburg High School 22500 Wims Rd,35.871731,-88.390048,"Clarksburg High School, Clarksburg, TN, United States of America",Clarksburg High School,,,,,,Clarksburg,Carroll County,,Tennessee,TN,United States,us,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
College Park Academy 7501 Adelphi Rd,38.968209,-76.927482,"College Park Academy, 5751 Rivertech Court, Riverdale Park, MD 20737, United States of America",College Park Academy,5751,Rivertech Court,,20737,,Riverdale Park,Prince George's County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Colonel Richardson High School 25320 Richardson Rd,38.754806,-75.82834980015923,"Colonel Richardson High School, 25320 Richardson Road, Federalsburg, MD 21632, United States of America",Colonel Richardson High School,25320,Richardson Road,,21632,,Federalsburg,Caroline County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Colonel Zadok Magruder High School 5939 Muncaster Mill Rd,39.132385,-77.118428,"Colonel Zadok Magruder High School, Montgomery County, MD, United States of America",,,Colonel Zadok Magruder High School,,,,,Montgomery County,,Maryland,MD,United States,us,0.1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Connelly School of the Holy Child 9029 Bradley Blvd,39.00024695,-77.1873880298682,"Connelly School of the Holy Child, Bradley Boulevard, Potomac, MD 20818, United States of America",Connelly School of the Holy Child,,Bradley Boulevard,,20818,,Potomac,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cristo Rey Jesuit High School 420 S Chester St,39.286044,-76.587442,"Cristo Rey Jesuit High School, Baltimore, MD, United States of America",Cristo Rey Jesuit High School,,,,,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Crossland High School 6901 Temple Hill Rd,38.794175,-76.929964,"Crossland High School, Camp Springs, MD, United States of America",Crossland High School,,,,,,Camp Springs,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Damascus High School 25921 Ridge Rd,33.261517,-93.002386,"Damascus High School, Columbia County, AR, United States of America",Damascus High School,,,,,,,Columbia County,,Arkansas,AR,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DeMatha Catholic High School 4313 Madison St,38.95798365,-76.94215148845149,"DeMatha Catholic High School, 4318 Madison Street, Hyattsville, MD 20781, United States of America",DeMatha Catholic High School,4318,Madison Street,,20781,Green Manor,Hyattsville,Prince George's County,,Maryland,MD,United States,us,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Digital Harbor High School 1100 Covington St,39.275877,-76.607552,"Digital Harbor High School, Baltimore, MD, United States of America",,,Digital Harbor High School,,,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Don Bosco Cristo Rey High School 2801 O'Donnell St,39.27984,-76.576555,"2801 O'Donnell Street, Baltimore, MD 21224, United States of America",,2801,O'Donnell Street,,21224,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dr. Henry A. Wise Jr. High School 12650 Brooke Ln,38.834118,-76.78962,"Dr Henry A Wise Junior High School, Westphalia, MD, United States of America",,,Dr Henry A Wise Junior High School,,,,Westphalia,Prince George's County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dulaney High School 255 E Padonia Rd,39.460689349999996,-76.61258524064303,"Dulaney High School, 255 East Padonia Road, The Lakes, MD 21030, United States of America",Dulaney High School,255,East Padonia Road,,21030,Springlake,The Lakes,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dundalk High School 1901 Delvale Ave,39.2667402,-76.51605968577391,"Dundalk High School, 1901 Delvale Avenue, Dundalk, MD 21222, United States of America",Dundalk High School,1901,Delvale Avenue,,21222,Norwood Park,Dundalk,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DuVal High School 9880 Good Luck Rd,38.98944255,-76.83832680281034,"DuVal High School, 9880 Good Luck Road, Lanham, MD 20706, United States of America",DuVal High School,9880,Good Luck Road,,20706,,Lanham,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eastern Technical High School 1100 Mace Ave,39.325282,-76.47328,"Eastern Technical High School, Essex, MD, United States of America",,,Eastern Technical High School,,,,Essex,Baltimore County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Easton High School 723 Mecklenburg Ave,46.642265,-67.903636,"Easton High School, Easton, ME, United States of America",Easton High School,,,,,Easton,Easton,Aroostook County,,Maine,ME,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edgewood High School 2415 Willoughby Beach Rd,39.422211,-76.28616,"Edgewood High School, Edgewood, MD, United States of America",Edgewood High School,,,,,,Edgewood,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eleanor Roosevelt High School 7601 Hanover Pkwy,38.9946354,-76.86955189443488,"Eleanor Roosevelt High School, 7601 Hanover Parkway, Greenbelt, MD 20770, United States of America",Eleanor Roosevelt High School,7601,Hanover Parkway,,20770,,Greenbelt,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Elizabeth Seton High School 5715 Emerson St,38.945944,-76.913863,"Elizabeth Seton High School, Bladensburg, MD, United States of America",Elizabeth Seton High School,,,,,,Bladensburg,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Elkton High School 110 James St,39.62272265,-75.83538855629368,"Elkton High School, 110 James Street, Elkton, MD 21921, United States of America",Elkton High School,110,James Street,,21921,,Elkton,Cecil County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
